,Name,Line_Category,Line,Over_Under,League,Bookmaker,No_Vig_Probability
187,Alejandro Kirk,Total Bases,1.5,Over,MLB,Draftkings/Fanduel,0.40590405904059046
188,Alejandro Kirk,Hits,0.5,Under,MLB,Draftkings/Fanduel,0.32697547683923706
189,Alejandro Kirk,Batter Walks,0.5,Over,MLB,Draftkings/Fanduel,0.3281719436098913
190,Aleksander Barkov,Assists,0.5,Under,NHL,Pinnacle,0.49095295536791317
191,Aleksander Barkov,Assists,0.5,Over,MLB,Draftkings/Fanduel,0.5101214574898785
192,Aleksander Barkov,Shots,2.5,Over,NHL,Pinnacle,0.47184231697506035
193,Aleksander Barkov,Points,0.5,Over,NHL,Pinnacle,0.647021071772382
194,Aleksander Barkov,Points,0.5,Under,NHL,Pinnacle,0.3529789282276179
195,Aleksander Barkov,Shots,2.5,Under,MLB,Draftkings/Fanduel,0.5203045685279188
196,Aleksander Barkov,Shots,2.5,Over,MLB,Draftkings/Fanduel,0.4796954314720812
197,Aleksander Barkov,Points,0.5,Under,MLB,Draftkings/Fanduel,0.3560327776207969
198,Aleksander Barkov,Points,0.5,Over,MLB,Draftkings/Fanduel,0.6439672223792032
199,Aleksander Barkov,Assists,0.5,Under,MLB,Draftkings/Fanduel,0.48987854251012153
200,Aleksander Barkov,Shots,2.5,Under,NHL,Pinnacle,0.5281576830249397
201,Aleksander Barkov,Assists,0.5,Over,NHL,Pinnacle,0.5090470446320868
202,Alex Bregman,Hits + Runs + RBIs,2.5,Over,MLB,Draftkings/Fanduel,0.4278523489932886
203,Alex Bregman,Hits,1.5,Under,MLB,Draftkings/Fanduel,0.682811830261466
204,Alex Bregman,Total Bases,1.5,Over,MLB,Pinnacle,0.4738819463977177
205,Alex Bregman,Total Bases,1.5,Under,MLB,Pinnacle,0.5261180536022823
206,Alex Bregman,Hits,1.5,Over,MLB,Draftkings/Fanduel,0.31718816973853403
207,Alex Bregman,Batter Walks,0.5,Under,MLB,Draftkings/Fanduel,0.5575221238938053
208,Alex Bregman,Batter Walks,0.5,Over,MLB,Draftkings/Fanduel,0.44247787610619466
209,Alex Bregman,Total Bases,1.5,Under,MLB,Draftkings/Fanduel,0.5275921801534273
210,Alex Bregman,Singles,0.5,Under,MLB,Draftkings/Fanduel,0.49439461883408065
211,Alex Bregman,Singles,0.5,Over,MLB,Draftkings/Fanduel,0.5056053811659194
212,Alex Bregman,Hits + Runs + RBIs,2.5,Under,MLB,Draftkings/Fanduel,0.5721476510067114
213,Alex Bregman,Runs,0.5,Over,MLB,Draftkings/Fanduel,0.5124244459368704
214,Alex Bregman,Runs,0.5,Under,MLB,Draftkings/Fanduel,0.4875755540631297
215,Alex Bregman,Total Bases,1.5,Over,MLB,Draftkings/Fanduel,0.47240781984657265
216,Alex Kirilloff,Total Bases,1.5,Over,MLB,Pinnacle,0.4525222551928783
217,Alex Kirilloff,Total Bases,1.5,Under,MLB,Pinnacle,0.5474777448071216
218,Alex Kirilloff,Batter Walks,0.5,Under,MLB,Draftkings/Fanduel,0.6395881006864989
219,Alex Kirilloff,Batter Walks,0.5,Over,MLB,Draftkings/Fanduel,0.3604118993135012
220,Alex Kirilloff,Total Bases,1.5,Under,MLB,Draftkings/Fanduel,0.5235786690171883
221,Alex Kirilloff,Total Bases,1.5,Over,MLB,Draftkings/Fanduel,0.47642133098281175
222,Alex Kirilloff,Singles,0.5,Over,MLB,Draftkings/Fanduel,0.5224651213885532
223,Alex Kirilloff,Runs,0.5,Under,MLB,Draftkings/Fanduel,0.5217938557643
224,Alex Kirilloff,Runs,0.5,Over,MLB,Draftkings/Fanduel,0.47820614423569996
225,Alex Kirilloff,Hits + Runs + RBIs,1.5,Under,MLB,Draftkings/Fanduel,0.45540796963946867
226,Alex Kirilloff,Hits + Runs + RBIs,1.5,Over,MLB,Draftkings/Fanduel,0.5445920303605313
227,Alex Kirilloff,Hits,1.5,Under,MLB,Draftkings/Fanduel,0.6809498540726983
228,Alex Kirilloff,Hits,1.5,Over,MLB,Draftkings/Fanduel,0.3190501459273017
229,Alex Kirilloff,Singles,0.5,Under,MLB,Draftkings/Fanduel,0.4775348786114467
230,Alex Ovechkin,Assists,0.5,Under,MLB,Draftkings/Fanduel,0.6161482461945732
231,Alex Ovechkin,Points,0.5,Over,MLB,Draftkings/Fanduel,0.5689655172413793
232,Alex Ovechkin,Points,0.5,Under,MLB,Draftkings/Fanduel,0.43103448275862066
233,Alex Ovechkin,Shots,2.5,Over,MLB,Draftkings/Fanduel,0.5893794380981785
234,Alex Ovechkin,Shots,2.5,Under,MLB,Draftkings/Fanduel,0.41062056190182156
235,Alex Ovechkin,Assists,0.5,Over,MLB,Draftkings/Fanduel,0.38385175380542685
236,Alex Ovechkin,Assists,0.5,Over,NHL,Pinnacle,0.3793559770621967
237,Alex Ovechkin,Points,0.5,Under,NHL,Pinnacle,0.42872279729399293
238,Alex Ovechkin,Assists,0.5,Under,NHL,Pinnacle,0.6206440229378033
239,Alex Ovechkin,Shots,2.5,Over,NHL,Pinnacle,0.5966220726080269
240,Alex Ovechkin,Points,0.5,Over,NHL,Pinnacle,0.571277202706007
241,Alex Ovechkin,Shots,2.5,Under,NHL,Pinnacle,0.40337792739197303
242,Alex Verdugo,Total Bases,0.5,Over,MLB,Pinnacle,0.5740498034076016
243,Alex Verdugo,Total Bases,0.5,Under,MLB,Pinnacle,0.4259501965923984
244,Alex Verdugo,Batter Walks,0.5,Under,MLB,Draftkings/Fanduel,0.6599999999999999
245,Alex Verdugo,Batter Walks,0.5,Over,MLB,Draftkings/Fanduel,0.33999999999999997
246,Alex Verdugo,Total Bases,0.5,Under,MLB,Draftkings/Fanduel,0.43348916277093075
247,Alex Verdugo,Total Bases,0.5,Over,MLB,Draftkings/Fanduel,0.5665108372290693
248,Alex Verdugo,Singles,0.5,Over,MLB,Draftkings/Fanduel,0.45454545454545453
249,Alex Verdugo,Runs,0.5,Under,MLB,Draftkings/Fanduel,0.6431230995180274
250,Alex Verdugo,Runs,0.5,Over,MLB,Draftkings/Fanduel,0.3568769004819725
251,Alex Verdugo,Hits + Runs + RBIs,1.5,Under,MLB,Draftkings/Fanduel,0.5751633986928105
