,Sport Identifier,Match Info,Outcome,Player Name,Player Stat
336,sspz8,MIA 103 @ BOS 84 - 5/29/23 8:40PM,o3o4E,Max Strus,Lower  - 10.0 Points
337,sspz8,BOS 84 vs MIA 103 - 5/29/23 8:40PM,o3o4E,Jayson Tatum,Lower  - 42.5 Points + Rebounds
338,sspz8,TB 0 @ CHC 1 - 5/29/23 2:20PM,NT6cP,Wander Franco,Higher  - 2.0 Hits + Runs + RBIs
339,sspz8,ARI 7 vs COL 5 - 5/29/23 4:10PM,NT6cP,Geraldo Perdomo,Higher  - 0.5 Hits
340,sspz8,MIA 103 @ BOS 84 - 5/29/23 8:40PM,NT6cP,Jimmy Butler,Higher  - 8.0 Rebounds
341,sspz8,ATL 87 vs IND 90 - 5/28/23 3:00PM,NT6cP,Allisha Gray,Higher  - 6.0 Rebounds
342,sspz8,ATL 87 vs IND 90 - 5/28/23 3:00PM,NT6cP,Cheyenne Parker,Lower  - 13.5 Points
343,sspz8,ATL 87 vs IND 90 - 5/28/23 3:00PM,NT6cP,Rhyne Howard,Lower  - 16.0 Points
344,sspz8,ATL 87 vs IND 90 - 5/28/23 3:00PM,NT6cP,Allisha Gray,Lower  - 15.0 Points
345,sspz8,IND 90 @ ATL 87 - 5/28/23 3:00PM,NT6cP,Aliyah Boston,Higher  - 15.5 Points
346,sspz8,CHE 1 vs NEW 1 - 5/28/23 11:30AM,NT6cP,Kai Havertz,Higher  - 2.0 Shots Attempted
347,sspz8,NEW 1 @ CHE 1 - 5/28/23 11:30AM,o3o4E,Aleksander Isak,Higher  - 2.0 Shots Attempted
348,sspz8,ARS 5 vs WLV 0 - 5/28/23 11:30AM,o3o4E,Bukayo Saka,Higher  - 2.5 Shots Attempted
349,sspz8,ARS 5 vs WLV 0 - 5/28/23 11:30AM,NT6cP,Martin Ødegaard,Higher  - 2.0 Shots Attempted
350,sspz8,ARS 5 vs WLV 0 - 5/28/23 11:30AM,NT6cP,Gabriel Jesus,Higher  - 3.0 Shots Attempted
351,sspz8,MUN 2 vs FUL 1 - 5/28/23 11:30AM,o3o4E,Marcus Rashford,Higher  - 3.5 Shots Attempted
352,sspz8,SOU 4 vs LIV 4 - 5/28/23 11:30AM,o3o4E,Mohamed Elyounoussi,Higher  - 1.0 Shots Attempted
353,sspz8,FUL 1 @ MUN 2 - 5/28/23 11:30AM,o3o4E,Aleksandar Mitrović,Higher  - 2.5 Shots Attempted
354,sspz8,AVA 2 vs BRH 1 - 5/28/23 11:30AM,o3o4E,Ollie Watkins,Higher  - 0.5 Goals + Assists
355,sspz8,LIV 4 @ SOU 4 - 5/28/23 11:30AM,NT6cP,Roberto Firmino,Higher  - 2.5 Shots Attempted
356,sspz8,SOU 4 vs LIV 4 - 5/28/23 11:30AM,,Theo Walcott,Higher  - 1.0 Shots Attempted
357,sspz8,LIV 4 @ SOU 4 - 5/28/23 11:30AM,o3o4E,Mohamed Salah,Higher  - 3.0 Shots Attempted
358,l6l_J,BRH 1 @ AVA 2 - 5/28/23 11:30AM,,Evan Ferguson,Higher  - 2.0 Shots Attempted
359,sspz8,AVA 2 vs BRH 1 - 5/28/23 11:30AM,o3o4E,Leon Bailey,Higher  - 1.5 Shots Attempted
360,sspz8,LEI 2 vs WHU 1 - 5/28/23 11:30AM,NT6cP,Kelechi Iheanacho,Higher  - 2.5 Shots Attempted
361,sspz8,LEI 2 vs WHU 1 - 5/28/23 11:30AM,o3o4E,Harvey Barnes,Higher  - 2.5 Shots Attempted
362,sspz8,WHU 1 @ LEI 2 - 5/28/23 11:30AM,,Michail Antonio,Higher  - 2.0 Shots Attempted
363,sspz8,LEI 2 vs WHU 1 - 5/28/23 11:30AM,o3o4E,James Maddison,Higher  - 3.0 Shots Attempted
364,sspz8,EVE 1 vs BOU 0 - 5/28/23 11:30AM,NT6cP,Dwight McNeil,Higher  - 2.0 Shots Attempted
365,sspz8,WHU 1 @ LEI 2 - 5/28/23 11:30AM,,Saïd Benrahma,Higher  - 2.0 Shots Attempted
366,l6l_J,BOU 0 @ EVE 1 - 5/28/23 11:30AM,NT6cP,Dango Ouattara,Higher  - 1.5 Shots Attempted
367,sspz8,BOU 0 @ EVE 1 - 5/28/23 11:30AM,NT6cP,Dominic Solanke,Higher  - 2.0 Shots Attempted
368,sspz8,EVE 1 vs BOU 0 - 5/28/23 11:30AM,,Neal Maupay,Higher  - 2.5 Shots Attempted
369,sspz8,LEE 1 vs TOT 4 - 5/28/23 11:30AM,,Rodrigo,Higher  - 2.0 Shots Attempted
370,sspz8,TOT 4 @ LEE 1 - 5/28/23 11:30AM,NT6cP,Heung Min Son,Higher  - 2.0 Shots Attempted
371,vuk2U,BOS 84 vs MIA 103 - 5/29/23 8:40PM,o3o4E,Jaylen Brown,Higher  - 0.5 Points
372,sspz8,NY 81 vs CONN 65 - 5/27/23 1:00PM,NT6cP,Jonquel Jones,Higher  - 12.5 Points
373,sspz8,CONN 65 @ NY 81 - 5/27/23 1:00PM,o3o4E,Brionna Jones,Higher  - 7.0 Rebounds
374,sspz8,LV 93 vs LA 65 - 5/27/23 9:00PM,NT6cP,A'ja Wilson,Lower  - 18.5 Points
375,sspz8,CONN 65 @ NY 81 - 5/27/23 1:00PM,o3o4E,DeWanna Bonner,Lower  - 17.5 Points
376,sspz8,CONN 65 @ NY 81 - 5/27/23 1:00PM,o3o4E,Alyssa Thomas,Lower  - 17.5 Points
377,sspz8,NY 81 vs CONN 65 - 5/27/23 1:00PM,NT6cP,Sabrina Ionescu,Lower  - 16.5 Points
378,sspz8,BOS 104 @ MIA 103 - 5/27/23 8:40PM,NT6cP,Derrick White,Lower  - 16.5 Points + Assists
379,sspz8,MIA 103 vs BOS 104 - 5/27/23 8:40PM,o3o4E,Bam Adebayo,Lower  - 18.0 Points
380,sspz8,BOS 104 @ MIA 103 - 5/27/23 8:40PM,NT6cP,Al Horford,Higher  - 7.0 Points
381,sspz8,MIA 103 vs BOS 104 - 5/27/23 8:40PM,NT6cP,Max Strus,Higher  - 13.5 Points + Rebounds
382,sspz8,DAL 4 @ VGK 2 - 5/27/23 8:04PM,NT6cP,Roope Hintz,Lower  - 3.0 Shots
383,sspz8,DAL 4 @ VGK 2 - 5/27/23 8:04PM,o3o4E,Wyatt Johnston,Higher  - 2.0 Shots
384,sspz8,BOS 104 @ MIA 103 - 5/27/23 8:40PM,NT6cP,Marcus Smart,Lower  - 19.5 Points + Assists
385,sspz8,BOS 104 @ MIA 103 - 5/27/23 8:40PM,o3o4E,Jaylen Brown,Higher  - 28.5 Points + Rebounds
386,sspz8,MIA 103 vs BOS 104 - 5/27/23 8:40PM,NT6cP,Bam Adebayo,Higher  - 21.0 Points + Assists
387,sspz8,BOS 104 @ MIA 103 - 5/27/23 8:40PM,o3o4E,Jayson Tatum,Lower  - 6.0 Assists
388,sspz8,SD 2 @ NYY 3 - 5/27/23 1:05PM,NT6cP,Brandon Dixon,Higher  - 0.5 Hits
389,sspz8,SD 2 @ NYY 3 - 5/27/23 1:05PM,NT6cP,Nelson Cruz,Higher  - 0.5 Hits
390,sspz8,BOS 104 @ MIA 103 - 5/27/23 8:40PM,o3o4E,Grant Williams,Lower  - 4.0 Rebounds
391,sspz8,WSH 71 @ CHI 69 - 5/26/23 8:00PM,NT6cP,Natasha Cloud,Lower  - 6.0 Assists
392,sspz8,CHI 69 vs WSH 71 - 5/26/23 8:00PM,o3o4E,Kahleah Copper,Lower  - 6.0 Rebounds
393,sspz8,WSH 71 @ CHI 69 - 5/26/23 8:00PM,o3o4E,Elena Delle Donne,Lower  - 7.5 Rebounds
394,sspz8,DAL 95 @ SEA 91 - 5/26/23 10:00PM,NT6cP,Natasha Howard,Lower  - 8.0 Rebounds
